,z,cluster
30093,0,-1
24139,1,-1
38927,0,-1
10397,1,-1
31211,1,-1
5996,0,-1
5728,1,-1
35693,0,-1
6825,0,-1
36668,0,-1
36221,0,-1
31570,1,-1
35427,0,-1
26534,1,-1
20237,1,-1
30233,0,-1
20080,1,-1
30171,1,-1
24189,1,-1
30009,1,-1
37284,0,-1
6187,0,-1
34404,0,-1
33563,1,-1
30471,0,-1
38140,0,-1
1049,0,-1
19539,0,-1
30788,1,-1
31208,1,-1
20176,1,-1
20757,0,-1
33530,0,-1
35324,0,-1
32728,1,-1
10064,1,-1
34423,0,-1
28603,0,-1
213,1,-1
26039,0,-1
6129,0,-1
33179,1,-1
439,0,-1
24154,1,-1
10009,1,-1
26666,1,-1
30343,1,-1
35557,0,-1
30726,1,-1
10527,1,-1
14991,0,-1
34641,0,-1
31127,1,-1
32217,0,-1
32847,1,-1
33676,1,-1
36391,1,-1
10237,1,-1
18940,0,-1
37961,0,-1
586,1,-1
20819,0,-1
30754,1,-1
10054,0,-1
34572,1,-1
38246,0,-1
37794,0,-1
35418,0,-1
20274,0,-1
31356,0,-1
4822,1,-1
32377,0,-1
33399,0,-1
33195,1,-1
15047,0,-1
32613,1,-1
300,0,-1
33365,1,-1
32247,0,-1
34194,0,-1
9968,0,-1
18211,0,-1
30461,0,-1
34455,0,-1
31019,1,-1
33265,1,-1
35257,0,-1
38640,0,-1
36765,0,-1
21528,1,-1
37375,0,-1
36487,1,-1
31333,0,-1
33653,0,-1
30651,0,-1
36487,0,-1
24203,1,-1
34443,0,-1
21520,1,-1
5519,0,-1
30577,0,-1
18785,0,-1
36873,0,-1
10459,1,-1
33105,0,-1
6243,0,-1
31443,1,-1
36683,0,-1
37285,0,-1
7344,0,-1
20759,0,-1
10001,1,-1
32638,1,-1
32123,1,-1
36520,1,-1
30511,1,-1
6726,0,-1
32536,0,-1
33266,1,-1
20207,1,-1
30832,1,-1
30630,0,-1
18715,0,-1
21792,1,-1
24190,0,-1
32127,0,-1
36361,1,-1
35291,0,-1
36329,0,-1
35927,1,-1
34960,0,-1
31943,1,-1
37672,0,-1
33915,0,-1
34982,0,-1
20760,0,-1
24774,0,-1
36831,0,-1
33571,1,-1
31670,0,-1
459,1,-1
71,0,-1
21443,0,-1
30926,0,-1
143,0,-1
34293,1,-1
38284,0,-1
5869,0,-1
35923,1,-1
37792,0,-1
28580,0,-1
20792,0,-1
33601,1,-1
20134,1,-1
20039,1,-1
36700,0,-1
9982,0,-1
323,1,-1
20175,0,-1
30575,0,-1
35331,0,-1
174,0,-1
30267,1,-1
36363,1,-1
35272,0,-1
26392,0,-1
19114,0,-1
18679,0,-1
33380,1,-1
38744,0,-1
4345,1,-1
31323,0,-1
7058,0,-1
26940,1,-1
32103,0,-1
